angry0,angry1,angry2,box0,box1,box2,disgust0,disgust1,disgust2,fear0,fear1,fear2,happy0,happy1,happy2,neutral0,neutral1,neutral2,sad0,sad1,sad2,surprise0,surprise1,surprise2
0.24,,,"[892, 145, 162, 214]",,,0.0,,,0.09,,,0.0,,,0.34,,,0.33,,,0.01,,
0.22,,,"[893, 146, 162, 212]",,,0.0,,,0.09,,,0.0,,,0.35,,,0.32,,,0.01,,
0.17,,,"[892, 143, 159, 216]",,,0.0,,,0.09,,,0.0,,,0.39,,,0.34,,,0.01,,
0.19,,,"[891, 145, 162, 213]",,,0.0,,,0.12,,,0.0,,,0.37,,,0.31,,,0.01,,
0.21,,,"[892, 146, 161, 212]",,,0.0,,,0.12,,,0.0,,,0.33,,,0.34,,,0.01,,
0.3,,,"[893, 147, 161, 211]",,,0.0,,,0.11,,,0.0,,,0.31,,,0.27,,,0.01,,
0.1,,,"[891, 145, 159, 213]",,,0.0,,,0.09,,,0.0,,,0.45,,,0.34,,,0.01,,
0.2,,,"[891, 145, 161, 212]",,,0.0,,,0.13,,,0.0,,,0.39,,,0.26,,,0.01,,
0.2,,,"[892, 145, 161, 212]",,,0.0,,,0.1,,,0.0,,,0.35,,,0.33,,,0.01,,
0.31,,,"[892, 146, 161, 212]",,,0.0,,,0.1,,,0.0,,,0.27,,,0.31,,,0.01,,
0.2,,,"[892, 145, 160, 212]",,,0.0,,,0.1,,,0.0,,,0.37,,,0.31,,,0.01,,
0.21,,,"[892, 145, 161, 212]",,,0.0,,,0.12,,,0.0,,,0.29,,,0.37,,,0.01,,
0.16,,,"[891, 145, 158, 214]",,,0.0,,,0.1,,,0.0,,,0.38,,,0.33,,,0.02,,
0.22,,,"[892, 144, 159, 217]",,,0.0,,,0.13,,,0.0,,,0.27,,,0.37,,,0.01,,
0.17,,,"[890, 142, 161, 218]",,,0.0,,,0.08,,,0.0,,,0.39,,,0.34,,,0.01,,
0.16,,,"[891, 144, 159, 215]",,,0.0,,,0.1,,,0.0,,,0.42,,,0.31,,,0.01,,
0.23,,,"[892, 144, 159, 215]",,,0.0,,,0.1,,,0.0,,,0.31,,,0.34,,,0.01,,
0.17,,,"[891, 143, 160, 216]",,,0.0,,,0.08,,,0.0,,,0.45,,,0.29,,,0.01,,
0.16,,,"[889, 136, 168, 227]",,,0.0,,,0.07,,,0.0,,,0.37,,,0.39,,,0.01,,
0.22,,,"[893, 146, 157, 213]",,,0.0,,,0.12,,,0.0,,,0.35,,,0.31,,,0.01,,
0.11,,,"[892, 147, 157, 213]",,,0.0,,,0.16,,,0.0,,,0.47,,,0.26,,,0.01,,
0.19,,,"[891, 147, 158, 212]",,,0.0,,,0.14,,,0.0,,,0.44,,,0.22,,,0.01,,
0.21,,,"[892, 146, 162, 212]",,,0.0,,,0.12,,,0.0,,,0.36,,,0.31,,,0.01,,
0.19,,,"[894, 148, 156, 211]",,,0.0,,,0.16,,,0.0,,,0.41,,,0.24,,,0.01,,
0.2,,,"[892, 146, 161, 212]",,,0.0,,,0.13,,,0.0,,,0.33,,,0.33,,,0.01,,
0.26,,,"[892, 146, 161, 212]",,,0.0,,,0.11,,,0.0,,,0.32,,,0.3,,,0.01,,
0.34,,,"[892, 146, 162, 213]",,,0.0,,,0.09,,,0.0,,,0.29,,,0.28,,,0.01,,
0.23,,,"[894, 147, 160, 211]",,,0.0,,,0.13,,,0.0,,,0.33,,,0.3,,,0.01,,
0.27,,,"[893, 147, 161, 211]",,,0.0,,,0.15,,,0.0,,,0.28,,,0.29,,,0.01,,
0.25,,,"[893, 146, 162, 213]",,,0.0,,,0.13,,,0.0,,,0.34,,,0.26,,,0.01,,
0.21,,,"[892, 145, 163, 214]",,,0.0,,,0.09,,,0.0,,,0.39,,,0.3,,,0.01,,
0.25,,,"[894, 146, 161, 213]",,,0.0,,,0.12,,,0.0,,,0.34,,,0.28,,,0.02,,
0.19,,,"[894, 148, 160, 210]",,,0.0,,,0.16,,,0.0,,,0.37,,,0.26,,,0.01,,
0.2,,,"[894, 146, 161, 212]",,,0.0,,,0.1,,,0.0,,,0.33,,,0.35,,,0.02,,
0.19,,,"[894, 147, 161, 211]",,,0.0,,,0.11,,,0.0,,,0.35,,,0.33,,,0.01,,
0.29,,,"[893, 146, 161, 213]",,,0.0,,,0.12,,,0.0,,,0.31,,,0.28,,,0.01,,
0.23,,,"[893, 147, 160, 211]",,,0.0,,,0.14,,,0.0,,,0.35,,,0.26,,,0.02,,
0.1,,,"[893, 140, 163, 215]",,,0.0,,,0.15,,,0.0,,,0.33,,,0.39,,,0.02,,
0.13,,,"[892, 142, 164, 218]",,,0.0,,,0.06,,,0.0,,,0.48,,,0.31,,,0.02,,
0.18,,,"[894, 141, 163, 214]",,,0.0,,,0.17,,,0.0,,,0.22,,,0.42,,,0.01,,
0.36,,,"[906, 152, 151, 194]",,,0.0,,,0.09,,,0.0,,,0.21,,,0.33,,,0.0,,
0.2,,,"[892, 145, 160, 214]",,,0.0,,,0.12,,,0.0,,,0.36,,,0.31,,,0.01,,
0.23,,,"[894, 146, 159, 212]",,,0.0,,,0.15,,,0.0,,,0.21,,,0.41,,,0.0,,
0.32,,,"[906, 152, 153, 194]",,,0.0,,,0.12,,,0.0,,,0.23,,,0.32,,,0.01,,
0.41,,,"[904, 151, 155, 196]",,,0.0,,,0.13,,,0.0,,,0.18,,,0.28,,,0.01,,
0.25,,,"[895, 141, 163, 219]",,,0.0,,,0.1,,,0.0,,,0.27,,,0.37,,,0.01,,
0.17,,,"[895, 143, 162, 216]",,,0.0,,,0.11,,,0.0,,,0.29,,,0.41,,,0.01,,
0.21,,,"[893, 141, 164, 219]",,,0.0,,,0.14,,,0.0,,,0.27,,,0.37,,,0.01,,
0.19,,,"[892, 141, 165, 221]",,,0.0,,,0.11,,,0.0,,,0.32,,,0.38,,,0.01,,
0.22,,,"[895, 143, 163, 218]",,,0.0,,,0.16,,,0.0,,,0.23,,,0.38,,,0.01,,
0.2,,,"[892, 140, 165, 222]",,,0.0,,,0.1,,,0.0,,,0.29,,,0.41,,,0.0,,
0.22,,,"[896, 143, 162, 215]",,,0.0,,,0.19,,,0.0,,,0.23,,,0.35,,,0.02,,
0.3,,,"[896, 142, 162, 215]",,,0.0,,,0.22,,,0.0,,,0.16,,,0.32,,,0.01,,
0.15,,,"[896, 142, 162, 217]",,,0.0,,,0.13,,,0.0,,,0.34,,,0.36,,,0.01,,
0.16,,,"[896, 143, 162, 216]",,,0.0,,,0.13,,,0.0,,,0.33,,,0.37,,,0.01,,
0.26,,,"[896, 142, 162, 214]",,,0.0,,,0.18,,,0.0,,,0.22,,,0.33,,,0.01,,
0.31,,,"[894, 146, 159, 212]",,,0.0,,,0.15,,,0.0,,,0.31,,,0.2,,,0.01,,
0.25,,,"[894, 147, 160, 213]",,,0.0,,,0.19,,,0.0,,,0.24,,,0.32,,,0.01,,
0.26,,,"[894, 147, 159, 211]",,,0.0,,,0.14,,,0.0,,,0.3,,,0.29,,,0.0,,
0.19,,,"[893, 143, 162, 217]",,,0.0,,,0.11,,,0.0,,,0.36,,,0.33,,,0.0,,
0.16,,,"[891, 139, 166, 223]",,,0.0,,,0.13,,,0.0,,,0.27,,,0.43,,,0.01,,
0.26,,,"[892, 141, 165, 220]",,,0.0,,,0.11,,,0.0,,,0.27,,,0.36,,,0.01,,
0.18,,,"[892, 142, 164, 219]",,,0.0,,,0.13,,,0.0,,,0.28,,,0.4,,,0.01,,
0.25,,,"[893, 143, 163, 218]",,,0.0,,,0.12,,,0.0,,,0.3,,,0.31,,,0.01,,
0.24,,,"[891, 140, 166, 221]",,,0.0,,,0.09,,,0.0,,,0.28,,,0.38,,,0.01,,
0.22,,,"[892, 141, 164, 220]",,,0.0,,,0.07,,,0.0,,,0.32,,,0.39,,,0.01,,
0.21,,,"[892, 143, 161, 217]",,,0.0,,,0.12,,,0.0,,,0.33,,,0.32,,,0.02,,
0.19,,,"[893, 143, 159, 216]",,,0.0,,,0.11,,,0.0,,,0.4,,,0.28,,,0.02,,
0.17,,,"[893, 138, 163, 218]",,,0.0,,,0.11,,,0.0,,,0.28,,,0.42,,,0.01,,
0.17,,,"[891, 142, 163, 219]",,,0.0,,,0.13,,,0.0,,,0.28,,,0.41,,,0.02,,
0.17,,,"[893, 138, 162, 220]",,,0.0,,,0.11,,,0.0,,,0.37,,,0.33,,,0.02,,
0.25,,,"[893, 139, 162, 217]",,,0.0,,,0.15,,,0.0,,,0.25,,,0.33,,,0.02,,
0.22,,,"[892, 146, 161, 212]",,,0.0,,,0.13,,,0.0,,,0.28,,,0.36,,,0.01,,
0.25,,,"[891, 146, 162, 213]",,,0.0,,,0.13,,,0.0,,,0.27,,,0.35,,,0.01,,
0.29,,,"[892, 146, 161, 212]",,,0.0,,,0.13,,,0.0,,,0.22,,,0.35,,,0.01,,
0.26,,,"[893, 146, 161, 213]",,,0.0,,,0.15,,,0.0,,,0.24,,,0.34,,,0.01,,
0.24,,,"[893, 146, 160, 212]",,,0.0,,,0.1,,,0.0,,,0.3,,,0.35,,,0.01,,
0.21,,,"[891, 144, 162, 215]",,,0.0,,,0.11,,,0.0,,,0.31,,,0.36,,,0.01,,
